debugFPWU8O:debug0509VI,initialized,0,,1430732811672
debugFPWU8O:debug0509VI,window_resize,0,"[1024, 768]",1430732811672
debugMSW5P4:debug4WSLLB,initialized,0,,1431439885120
debugMSW5P4:debug4WSLLB,window_resize,0,"[1024, 768]",1431439885120
debugCML0XW:debugYDB5WS,initialized,0,,1431948078060
debugCML0XW:debugYDB5WS,window_resize,0,"[1024, 768]",1431948078060
debugQT4VLU:debug3E8EAR,initialized,0,,1432313395274
debugQT4VLU:debug3E8EAR,window_resize,0,"[1024, 768]",1432313395274
debug8W22D9:debug7NZER7,initialized,0,,1432314411001
debug8W22D9:debug7NZER7,window_resize,0,"[1024, 768]",1432314411001
debug8W22D9:debug7NZER7,focus,19387,off,1432314430388
debug8W22D9:debug7NZER7,focus,1336,on,1432314431724
debugRRETC7:debugRPWFIA,initialized,0,,1434619284059
debugRRETC7:debugRPWFIA,window_resize,0,"[1024, 768]",1434619284059
debugK9IS8J:debugG6V6TZ,initialized,0,,1436532248953
debugK9IS8J:debugG6V6TZ,window_resize,0,"[1024, 768]",1436532248953
debugSUBKZ2:debugFYLVUL,initialized,0,,1436532374638
debugSUBKZ2:debugFYLVUL,window_resize,1,"[1024, 768]",1436532374639
debugUYX9TQ:debugTAZ7A2,initialized,0,,1436532531885
debugUYX9TQ:debugTAZ7A2,window_resize,0,"[1024, 768]",1436532531885
